,,,,,,,
,,,,,,,
Language,Benchmark,Workload Size,Input,Run,Time(s),Average Time(s),Standard Deviation(s)
Rust,File Read,File Size - 100 MB,,2,0.112484,,
Rust,File Read,File Size - 100 MB,,3,0.110147,,
Rust,File Read,File Size - 100 MB,,4,0.111481,,
Rust,File Read,File Size - 100 MB,,5,0.121077,,
C++,File Read,File Size - 10 MB,,1,0.018303,0.013014,0.00455040207
C++,File Read,File Size - 10 MB,,2,0.010202,,
C++,File Read,File Size - 10 MB,,3,0.011193,,
C++,File Read,File Size - 10 MB,,4,0.008027,,
C++,File Read,File Size - 10 MB,,5,0.017345,,
Rust,File Read,File Size - 10 MB,,1,0.012138,0.0309284,0.04639490425
Rust,File Read,File Size - 10 MB,,2,0.0121,,
Rust,File Read,File Size - 10 MB,,3,0.007963,,
Rust,File Read,File Size - 10 MB,,4,0.008591,,
Rust,File Read,File Size - 10 MB,,5,0.11385,,
C++,File Write,File Size - 1 GB,,1,3.17886,2.92094,0.2089790656
C++,File Write,File Size - 1 GB,,2,2.92494,,
C++,File Write,File Size - 1 GB,,3,2.59659,,
C++,File Write,File Size - 1 GB,,4,2.9745,,
C++,File Write,File Size - 1 GB,,5,2.92981,,
Rust,File Write,File Size - 1 GB,,1,3.337837,2.97475,0.3333150076
Rust,File Write,File Size - 1 GB,,2,2.910938,,
Rust,File Write,File Size - 1 GB,,3,2.467516,,
Rust,File Write,File Size - 1 GB,,4,2.957112,,
Rust,File Write,File Size - 1 GB,,5,3.200347,,
C++,File Write,File Size - 500 MB,,1,1.51229,1.516154,0.1773210789
C++,File Write,File Size - 500 MB,,2,1.60515,,
C++,File Write,File Size - 500 MB,,3,1.70533,,
C++,File Write,File Size - 500 MB,,4,1.52804,,
C++,File Write,File Size - 500 MB,,5,1.22996,,
Rust,File Write,File Size - 500 MB,,1,1.271396,1.2317176,0.1503157668
Rust,File Write,File Size - 500 MB,,2,1.135123,,
Rust,File Write,File Size - 500 MB,,3,1.112224,,
Rust,File Write,File Size - 500 MB,,4,1.477459,,
Rust,File Write,File Size - 500 MB,,5,1.162386,,
C++,File Write,File Size - 100 MB,,1,0.222573,0.2443956,0.03577952424
C++,File Write,File Size - 100 MB,,2,0.201376,,
C++,File Write,File Size - 100 MB,,3,0.296291,,
C++,File Write,File Size - 100 MB,,4,0.253771,,
C++,File Write,File Size - 100 MB,,5,0.247967,,
Rust,File Write,File Size - 100 MB,,1,0.208034,0.2121498,0.01376779417
Rust,File Write,File Size - 100 MB,,2,0.20509,,
Rust,File Write,File Size - 100 MB,,3,0.206192,,
Rust,File Write,File Size - 100 MB,,4,0.204761,,
Rust,File Write,File Size - 100 MB,,5,0.236672,,
C++,File Write,File Size - 10 MB,,1,0.027797,0.0353512,0.006668947908
C++,File Write,File Size - 10 MB,,2,0.043453,,
C++,File Write,File Size - 10 MB,,3,0.041107,,
C++,File Write,File Size - 10 MB,,4,0.031151,,
C++,File Write,File Size - 10 MB,,5,0.033248,,
Rust,File Write,File Size - 10 MB,,1,0.027579,0.0338506,0.0054428152
Rust,File Write,File Size - 10 MB,,2,0.032487,,
Rust,File Write,File Size - 10 MB,,3,0.031302,,
Rust,File Write,File Size - 10 MB,,4,0.042021,,
Rust,File Write,File Size - 10 MB,,5,0.035864,,
C++,String Parsing,1 Billion Characters,,1,1.02922,0.9634138,0.04387092563
C++,String Parsing,1 Billion Characters,,2,0.926234,,
C++,String Parsing,1 Billion Characters,,3,0.923814,,
C++,String Parsing,1 Billion Characters,,4,0.98227,,
C++,String Parsing,1 Billion Characters,,5,0.955531,,
Rust,String Parsing,1 Billion Characters,,1,0.416377,0.431832,0.02795005759
Rust,String Parsing,1 Billion Characters,,2,0.40455,,
Rust,String Parsing,1 Billion Characters,,3,0.417717,,
Rust,String Parsing,1 Billion Characters,,4,0.447484,,
Rust,String Parsing,1 Billion Characters,,5,0.473032,,
C++,String Parsing,500 Million Characters,,1,0.459174,0.4862794,0.03315554211
C++,String Parsing,500 Million Characters,,2,0.542927,,
C++,String Parsing,500 Million Characters,,3,0.4855,,
C++,String Parsing,500 Million Characters,,4,0.467468,,
C++,String Parsing,500 Million Characters,,5,0.476328,,
Rust,String Parsing,500 Million Characters,,1,0.205769,0.2077234,0.004002933399
Rust,String Parsing,500 Million Characters,,2,0.208478,,
Rust,String Parsing,500 Million Characters,,3,0.208282,,
Rust,String Parsing,500 Million Characters,,4,0.213484,,
Rust,String Parsing,500 Million Characters,,5,0.202604,,
C++,String Parsing,100 Million Characters,,1,0.103899,0.0904844,0.008190984513
C++,String Parsing,100 Million Characters,,2,0.084034,,
C++,String Parsing,100 Million Characters,,3,0.088009,,
C++,String Parsing,100 Million Characters,,4,0.092152,,
C++,String Parsing,100 Million Characters,,5,0.084328,,
Rust,String Parsing,100 Million Characters,,1,0.042252,0.0437466,0.001467832858
Rust,String Parsing,100 Million Characters,,2,0.043439,,
Rust,String Parsing,100 Million Characters,,3,0.042537,,
Rust,String Parsing,100 Million Characters,,4,0.045634,,
Rust,String Parsing,100 Million Characters,,5,0.044871,,
C++,String Parsing,10 Million Characters,,1,0.006357,0.0088612,0.002723227993
C++,String Parsing,10 Million Characters,,2,0.009052,,
C++,String Parsing,10 Million Characters,,3,0.010068,,
C++,String Parsing,10 Million Characters,,4,0.006152,,
C++,String Parsing,10 Million Characters,,5,0.012677,,
Rust,String Parsing,10 Million Characters,,1,0.004139,0.0061294,0.001636468698
Rust,String Parsing,10 Million Characters,,2,0.007792,,
Rust,String Parsing,10 Million Characters,,3,0.007624,,
Rust,String Parsing,10 Million Characters,,4,0.006278,,
Rust,String Parsing,10 Million Characters,,5,0.004814,,
C++,String Concatenation and Substring Search,Size - 500 MB,,1,1.48826,1.485162,0.01185751112
C++,String Concatenation and Substring Search,Size - 500 MB,,2,1.49297,,
C++,String Concatenation and Substring Search,Size - 500 MB,,3,1.48265,,
C++,String Concatenation and Substring Search,Size - 500 MB,,4,1.49597,,
C++,String Concatenation and Substring Search,Size - 500 MB,,5,1.46596,,
Rust,String Concatenation and Substring Search,Size - 500 MB,,1,0.376041,0.3491338,0.02339085023
Rust,String Concatenation and Substring Search,Size - 500 MB,,2,0.372029,,
Rust,String Concatenation and Substring Search,Size - 500 MB,,3,0.335919,,
Rust,String Concatenation and Substring Search,Size - 500 MB,,4,0.337782,,
Rust,String Concatenation and Substring Search,Size - 500 MB,,5,0.323898,,
C++,String Concatenation and Substring Search,Size - 100 MB,,1,0.284863,0.2915348,0.01961188639
C++,String Concatenation and Substring Search,Size - 100 MB,,2,0.326489,,
C++,String Concatenation and Substring Search,Size - 100 MB,,3,0.280294,,
C++,String Concatenation and Substring Search,Size - 100 MB,,4,0.282452,,
C++,String Concatenation and Substring Search,Size - 100 MB,,5,0.283576,,
Rust,String Concatenation and Substring Search,Size - 100 MB,,1,0.070789,0.0712492,0.001923641131
Rust,String Concatenation and Substring Search,Size - 100 MB,,2,0.074587,,
Rust,String Concatenation and Substring Search,Size - 100 MB,,3,0.069976,,
Rust,String Concatenation and Substring Search,Size - 100 MB,,4,0.070967,,
Rust,String Concatenation and Substring Search,Size - 100 MB,,5,0.069927,,
C++,String Concatenation and Substring Search,Size - 50 MB,,1,0.145945,0.148338,0.001912975823
C++,String Concatenation and Substring Search,Size - 50 MB,,2,0.149484,,
C++,String Concatenation and Substring Search,Size - 50 MB,,3,0.149742,,
C++,String Concatenation and Substring Search,Size - 50 MB,,4,0.146584,,
C++,String Concatenation and Substring Search,Size - 50 MB,,5,0.149935,,
Rust,String Concatenation and Substring Search,Size - 50 MB,,1,0.031768,0.0368618,0.003558732246
Rust,String Concatenation and Substring Search,Size - 50 MB,,2,0.039768,,
Rust,String Concatenation and Substring Search,Size - 50 MB,,3,0.040714,,
Rust,String Concatenation and Substring Search,Size - 50 MB,,4,0.035887,,
Rust,String Concatenation and Substring Search,Size - 50 MB,,5,0.036172,,
C++,String Concatenation and Substring Search,Size - 10 MB,,1,0.031341,0.0316198,0.002080639974
C++,String Concatenation and Substring Search,Size - 10 MB,,2,0.035076,,
C++,String Concatenation and Substring Search,Size - 10 MB,,3,0.031443,,
C++,String Concatenation and Substring Search,Size - 10 MB,,4,0.029503,,
C++,String Concatenation and Substring Search,Size - 10 MB,,5,0.030736,,
Rust,String Concatenation and Substring Search,Size - 10 MB,,1,0.012138,0.0113398,0.001319171975
Rust,String Concatenation and Substring Search,Size - 10 MB,,2,0.009615,,
Rust,String Concatenation and Substring Search,Size - 10 MB,,3,0.012582,,
Rust,String Concatenation and Substring Search,Size - 10 MB,,4,0.012119,,
Rust,String Concatenation and Substring Search,Size - 10 MB,,5,0.010245,,
C++,Dynamic Allocation and Free,100 Million Allocations,,1,4.07179,4.051346,0.02058055709
C++,Dynamic Allocation and Free,100 Million Allocations,,2,4.04403,,
C++,Dynamic Allocation and Free,100 Million Allocations,,3,4.04088,,
C++,Dynamic Allocation and Free,100 Million Allocations,,4,4.02646,,
C++,Dynamic Allocation and Free,100 Million Allocations,,5,4.07357,,
Rust,Dynamic Allocation and Free,100 Million Allocations,,1,2.979087,2.9419428,0.03101470676
Rust,Dynamic Allocation and Free,100 Million Allocations,,2,2.894355,,
Rust,Dynamic Allocation and Free,100 Million Allocations,,3,2.936836,,
Rust,Dynamic Allocation and Free,100 Million Allocations,,4,2.955027,,
Rust,Dynamic Allocation and Free,100 Million Allocations,,5,2.944409,,
C++,Dynamic Allocation and Free,50 Million Allocations,,1,2.02774,2.022668,0.005305447201
C++,Dynamic Allocation and Free,50 Million Allocations,,2,2.01878,,
C++,Dynamic Allocation and Free,50 Million Allocations,,3,2.01631,,
C++,Dynamic Allocation and Free,50 Million Allocations,,4,2.02226,,
C++,Dynamic Allocation and Free,50 Million Allocations,,5,2.02825,,
Rust,Dynamic Allocation and Free,50 Million Allocations,,1,1.480857,1.4799822,0.01746681685
Rust,Dynamic Allocation and Free,50 Million Allocations,,2,1.473735,,
Rust,Dynamic Allocation and Free,50 Million Allocations,,3,1.471079,,
Rust,Dynamic Allocation and Free,50 Million Allocations,,4,1.464766,,
Rust,Dynamic Allocation and Free,50 Million Allocations,,5,1.509474,,
C++,Dynamic Allocation and Free,10 Million Allocations,,1,0.39765,0.4078828,0.006095138038
C++,Dynamic Allocation and Free,10 Million Allocations,,2,0.407643,,
C++,Dynamic Allocation and Free,10 Million Allocations,,3,0.409208,,
C++,Dynamic Allocation and Free,10 Million Allocations,,4,0.412804,,
C++,Dynamic Allocation and Free,10 Million Allocations,,5,0.412109,,
Rust,Dynamic Allocation and Free,10 Million Allocations,,1,0.339049,0.3306876,0.04901292094
Rust,Dynamic Allocation and Free,10 Million Allocations,,2,0.309376,,
Rust,Dynamic Allocation and Free,10 Million Allocations,,3,0.29655,,
Rust,Dynamic Allocation and Free,10 Million Allocations,,4,0.295875,,
Rust,Dynamic Allocation and Free,10 Million Allocations,,5,0.412588,,
C++,Dynamic Allocation and Free,1 Million Allocations,,1,0.040806,0.0424414,0.00265833967
C++,Dynamic Allocation and Free,1 Million Allocations,,2,0.044918,,
C++,Dynamic Allocation and Free,1 Million Allocations,,3,0.038942,,
C++,Dynamic Allocation and Free,1 Million Allocations,,4,0.045127,,
C++,Dynamic Allocation and Free,1 Million Allocations,,5,0.042414,,
Rust,Dynamic Allocation and Free,1 Million Allocations,,1,0.032617,0.0377382,0.004580911449
Rust,Dynamic Allocation and Free,1 Million Allocations,,2,0.038492,,
Rust,Dynamic Allocation and Free,1 Million Allocations,,3,0.035971,,
Rust,Dynamic Allocation and Free,1 Million Allocations,,4,0.03661,,
Rust,Dynamic Allocation and Free,1 Million Allocations,,5,0.045001,,
C++,Vector Insertion and Deletion,1 Billion Insertions and Deletions,,1,1.89775,1.904024,0.02163448243
C++,Vector Insertion and Deletion,1 Billion Insertions and Deletions,,2,1.93891,,
C++,Vector Insertion and Deletion,1 Billion Insertions and Deletions,,3,1.90116,,
C++,Vector Insertion and Deletion,1 Billion Insertions and Deletions,,4,1.8794,,
C++,Vector Insertion and Deletion,1 Billion Insertions and Deletions,,5,1.9029,,
Rust,Vector Insertion and Deletion,1 Billion Insertions and Deletions,,1,1.6997,1.6677176,0.02689757378
Rust,Vector Insertion and Deletion,1 Billion Insertions and Deletions,,2,1.691911,,
Rust,Vector Insertion and Deletion,1 Billion Insertions and Deletions,,3,1.648616,,
Rust,Vector Insertion and Deletion,1 Billion Insertions and Deletions,,4,1.659988,,
Rust,Vector Insertion and Deletion,1 Billion Insertions and Deletions,,5,1.638373,,
C++,Vector Insertion and Deletion,500 Million Insertions and Deletions,,1,0.97369,0.9554698,0.01913265006
C++,Vector Insertion and Deletion,500 Million Insertions and Deletions,,2,0.949292,,
C++,Vector Insertion and Deletion,500 Million Insertions and Deletions,,3,0.93324,,
C++,Vector Insertion and Deletion,500 Million Insertions and Deletions,,4,0.94401,,
C++,Vector Insertion and Deletion,500 Million Insertions and Deletions,,5,0.977117,,
Rust,Vector Insertion and Deletion,500 Million Insertions and Deletions,,1,0.850541,0.85015984,0.0178697374
Rust,Vector Insertion and Deletion,500 Million Insertions and Deletions,,2,0.8294959,,
Rust,Vector Insertion and Deletion,500 Million Insertions and Deletions,,3,0.8512821,,
Rust,Vector Insertion and Deletion,500 Million Insertions and Deletions,,4,0.8779794,,
Rust,Vector Insertion and Deletion,500 Million Insertions and Deletions,,5,0.8415008,,
C++,Vector Insertion and Deletion,100 Million Insertions and Deletions,,1,0.190571,0.1988292,0.005995063653
C++,Vector Insertion and Deletion,100 Million Insertions and Deletions,,2,0.202602,,
C++,Vector Insertion and Deletion,100 Million Insertions and Deletions,,3,0.203233,,
C++,Vector Insertion and Deletion,100 Million Insertions and Deletions,,4,0.203449,,
C++,Vector Insertion and Deletion,100 Million Insertions and Deletions,,5,0.194291,,
Rust,Vector Insertion and Deletion,100 Million Insertions and Deletions,,1,0.162597,0.1847576,0.0134525239
Rust,Vector Insertion and Deletion,100 Million Insertions and Deletions,,2,0.191624,,
Rust,Vector Insertion and Deletion,100 Million Insertions and Deletions,,3,0.181531,,
Rust,Vector Insertion and Deletion,100 Million Insertions and Deletions,,4,0.195382,,
Rust,Vector Insertion and Deletion,100 Million Insertions and Deletions,,5,0.192654,,
C++,Vector Insertion and Deletion,10 Million Insertions and Deletions,,1,0.0299968,0.02039296,0.00694441251
C++,Vector Insertion and Deletion,10 Million Insertions and Deletions,,2,0.020196,,
C++,Vector Insertion and Deletion,10 Million Insertions and Deletions,,3,0.010476,,
C++,Vector Insertion and Deletion,10 Million Insertions and Deletions,,4,0.019611,,
C++,Vector Insertion and Deletion,10 Million Insertions and Deletions,,5,0.021685,,
Rust,Vector Insertion and Deletion,10 Million Insertions and Deletions,,1,0.0179985,0.0213502,0.004169984415
Rust,Vector Insertion and Deletion,10 Million Insertions and Deletions,,2,0.0160587,,
Rust,Vector Insertion and Deletion,10 Million Insertions and Deletions,,3,0.023812,,
Rust,Vector Insertion and Deletion,10 Million Insertions and Deletions,,4,0.0228353,,
Rust,Vector Insertion and Deletion,10 Million Insertions and Deletions,,5,0.0260465,,
